MONATSZAHL,AUSPRAEGUNG,JAHR,MONAT,WERT
Alkoholunfälle,insgesamt,2014,201405,28
Alkoholunfälle,insgesamt,2014,201406,31
Alkoholunfälle,insgesamt,2014,201407,35
Alkoholunfälle,insgesamt,2014,201408,32
Alkoholunfälle,insgesamt,2014,201409,43
Alkoholunfälle,insgesamt,2014,201410,36
Alkoholunfälle,insgesamt,2014,201411,42
Alkoholunfälle,insgesamt,2014,201412,25
Alkoholunfälle,insgesamt,2013,Summe,377
Alkoholunfälle,insgesamt,2013,201301,17
Alkoholunfälle,insgesamt,2013,201302,15
Alkoholunfälle,insgesamt,2013,201303,21
Alkoholunfälle,insgesamt,2013,201304,28
Alkoholunfälle,insgesamt,2013,201305,33
Alkoholunfälle,insgesamt,2013,201306,37
Alkoholunfälle,insgesamt,2013,201307,42
Alkoholunfälle,insgesamt,2013,201308,39
Alkoholunfälle,insgesamt,2013,201309,47
Alkoholunfälle,insgesamt,2013,201310,31
Alkoholunfälle,insgesamt,2013,201311,35
Alkoholunfälle,insgesamt,2013,201312,32
Alkoholunfälle,insgesamt,2012,Summe,440
Alkoholunfälle,insgesamt,2012,201201,21
Alkoholunfälle,insgesamt,2012,201202,18
Alkoholunfälle,insgesamt,2012,201203,21
Alkoholunfälle,insgesamt,2012,201204,34
Alkoholunfälle,insgesamt,2012,201205,54
Alkoholunfälle,insgesamt,2012,201206,43
Alkoholunfälle,insgesamt,2012,201207,56
Alkoholunfälle,insgesamt,2012,201208,55
Alkoholunfälle,insgesamt,2012,201209,49
Alkoholunfälle,insgesamt,2012,201210,32
Alkoholunfälle,insgesamt,2012,201211,30
Alkoholunfälle,insgesamt,2012,201212,27
Alkoholunfälle,insgesamt,2011,Summe,397
Alkoholunfälle,insgesamt,2011,201101,25
Alkoholunfälle,insgesamt,2011,201102,25
Alkoholunfälle,insgesamt,2011,201103,22
Alkoholunfälle,insgesamt,2011,201104,43
Alkoholunfälle,insgesamt,2011,201105,43
Alkoholunfälle,insgesamt,2011,201106,27
Alkoholunfälle,insgesamt,2011,201107,39
Alkoholunfälle,insgesamt,2011,201108,34
Alkoholunfälle,insgesamt,2011,201109,36
Alkoholunfälle,insgesamt,2011,201110,26
Alkoholunfälle,insgesamt,2011,201111,40
Alkoholunfälle,insgesamt,2011,201112,37
Alkoholunfälle,insgesamt,2010,Summe,402
Alkoholunfälle,insgesamt,2010,201001,19
Alkoholunfälle,insgesamt,2010,201002,23
Alkoholunfälle,insgesamt,2010,201003,31
Alkoholunfälle,insgesamt,2010,201004,33
Alkoholunfälle,insgesamt,2010,201005,34
Alkoholunfälle,insgesamt,2010,201006,39
Alkoholunfälle,insgesamt,2010,201007,48
Alkoholunfälle,insgesamt,2010,201008,40
Alkoholunfälle,insgesamt,2010,201009,54
Alkoholunfälle,insgesamt,2010,201010,27
Alkoholunfälle,insgesamt,2010,201011,28
Alkoholunfälle,insgesamt,2010,201012,26
Alkoholunfälle,insgesamt,2009,Summe,430
Alkoholunfälle,insgesamt,2009,200901,23
Alkoholunfälle,insgesamt,2009,200902,32
Alkoholunfälle,insgesamt,2009,200903,14
Alkoholunfälle,insgesamt,2009,200904,45
Alkoholunfälle,insgesamt,2009,200905,57
Alkoholunfälle,insgesamt,2009,200906,31
Alkoholunfälle,insgesamt,2009,200907,44
Alkoholunfälle,insgesamt,2009,200908,35
Alkoholunfälle,insgesamt,2009,200909,49
Alkoholunfälle,insgesamt,2009,200910,35
Alkoholunfälle,insgesamt,2009,200911,31
Alkoholunfälle,insgesamt,2009,200912,34
Alkoholunfälle,insgesamt,2008,Summe,482
Alkoholunfälle,insgesamt,2008,200801,32
Alkoholunfälle,insgesamt,2008,200802,30
Alkoholunfälle,insgesamt,2008,200803,30
Alkoholunfälle,insgesamt,2008,200804,25
Alkoholunfälle,insgesamt,2008,200805,57
Alkoholunfälle,insgesamt,2008,200806,56
Alkoholunfälle,insgesamt,2008,200807,52
Alkoholunfälle,insgesamt,2008,200808,44
Alkoholunfälle,insgesamt,2008,200809,49
Alkoholunfälle,insgesamt,2008,200810,45
Alkoholunfälle,insgesamt,2008,200811,27
Alkoholunfälle,insgesamt,2008,200812,35
Alkoholunfälle,insgesamt,2007,Summe,560
Alkoholunfälle,insgesamt,2007,200701,36
Alkoholunfälle,insgesamt,2007,200702,32
Alkoholunfälle,insgesamt,2007,200703,38
Alkoholunfälle,insgesamt,2007,200704,49
Alkoholunfälle,insgesamt,2007,200705,63
Alkoholunfälle,insgesamt,2007,200706,51
Alkoholunfälle,insgesamt,2007,200707,65
Alkoholunfälle,insgesamt,2007,200708,44
Alkoholunfälle,insgesamt,2007,200709,54
Alkoholunfälle,insgesamt,2007,200710,55
Alkoholunfälle,insgesamt,2007,200711,36
Alkoholunfälle,insgesamt,2007,200712,37
Alkoholunfälle,insgesamt,2006,Summe,599
Alkoholunfälle,insgesamt,2006,200601,44
Alkoholunfälle,insgesamt,2006,200602,50
Alkoholunfälle,insgesamt,2006,200603,40
Alkoholunfälle,insgesamt,2006,200604,40
Alkoholunfälle,insgesamt,2006,200605,53
Alkoholunfälle,insgesamt,2006,200606,51
Alkoholunfälle,insgesamt,2006,200607,64
Alkoholunfälle,insgesamt,2006,200608,48
Alkoholunfälle,insgesamt,2006,200609,64
Alkoholunfälle,insgesamt,2006,200610,45
Alkoholunfälle,insgesamt,2006,200611,48
Alkoholunfälle,insgesamt,2006,200612,52
Alkoholunfälle,insgesamt,2005,Summe,600
Alkoholunfälle,insgesamt,2005,200501,48
Alkoholunfälle,insgesamt,2005,200502,40
Alkoholunfälle,insgesamt,2005,200503,40
Alkoholunfälle,insgesamt,2005,200504,40
Alkoholunfälle,insgesamt,2005,200505,48
Alkoholunfälle,insgesamt,2005,200506,57
Alkoholunfälle,insgesamt,2005,200507,63
Alkoholunfälle,insgesamt,2005,200508,48
Alkoholunfälle,insgesamt,2005,200509,76
Alkoholunfälle,insgesamt,2005,200510,57
Alkoholunfälle,insgesamt,2005,200511,42
Alkoholunfälle,insgesamt,2005,200512,41
Alkoholunfälle,insgesamt,2004,Summe,659
Alkoholunfälle,insgesamt,2004,200401,42
Alkoholunfälle,insgesamt,2004,200402,48
Alkoholunfälle,insgesamt,2004,200403,44
Alkoholunfälle,insgesamt,2004,200404,37
Alkoholunfälle,insgesamt,2004,200405,55
Alkoholunfälle,insgesamt,2004,200406,58
Alkoholunfälle,insgesamt,2004,200407,67
Alkoholunfälle,insgesamt,2004,200408,58
Alkoholunfälle,insgesamt,2004,200409,79
Alkoholunfälle,insgesamt,2004,200410,68
Alkoholunfälle,insgesamt,2004,200411,51
Alkoholunfälle,insgesamt,2004,200412,52
Alkoholunfälle,insgesamt,2003,Summe,730
Alkoholunfälle,insgesamt,2003,200301,55
Alkoholunfälle,insgesamt,2003,200302,44
Alkoholunfälle,insgesamt,2003,200303,53
Alkoholunfälle,insgesamt,2003,200304,50
Alkoholunfälle,insgesamt,2003,200305,65
Alkoholunfälle,insgesamt,2003,200306,82
Alkoholunfälle,insgesamt,2003,200307,76
Alkoholunfälle,insgesamt,2003,200308,66
Alkoholunfälle,insgesamt,2003,200309,63
Alkoholunfälle,insgesamt,2003,200310,74
Alkoholunfälle,insgesamt,2003,200311,44
Alkoholunfälle,insgesamt,2003,200312,58
Alkoholunfälle,insgesamt,2002,Summe,803
Alkoholunfälle,insgesamt,2002,200201,44
Alkoholunfälle,insgesamt,2002,200202,49
Alkoholunfälle,insgesamt,2002,200203,61
Alkoholunfälle,insgesamt,2002,200204,65
Alkoholunfälle,insgesamt,2002,200205,58
Alkoholunfälle,insgesamt,2002,200206,74
Alkoholunfälle,insgesamt,2002,200207,84
Alkoholunfälle,insgesamt,2002,200208,71
Alkoholunfälle,insgesamt,2002,200209,107
Alkoholunfälle,insgesamt,2002,200210,83
Alkoholunfälle,insgesamt,2002,200211,44
Alkoholunfälle,insgesamt,2002,200212,63
Alkoholunfälle,insgesamt,2001,Summe,848
Alkoholunfälle,insgesamt,2001,200101,66
Alkoholunfälle,insgesamt,2001,200102,49
Alkoholunfälle,insgesamt,2001,200103,63
Alkoholunfälle,insgesamt,2001,200104,68
Alkoholunfälle,insgesamt,2001,200105,85
Alkoholunfälle,insgesamt,2001,200106,68
Alkoholunfälle,insgesamt,2001,200107,71
Alkoholunfälle,insgesamt,2001,200108,60
Alkoholunfälle,insgesamt,2001,200109,107
Alkoholunfälle,insgesamt,2001,200110,77
Alkoholunfälle,insgesamt,2001,200111,68
Alkoholunfälle,insgesamt,2001,200112,66
Alkoholunfälle,insgesamt,2000,200001,78
Alkoholunfälle,insgesamt,2000,200002,53
Alkoholunfälle,insgesamt,2000,200003,73
Alkoholunfälle,insgesamt,2000,200004,78
Alkoholunfälle,insgesamt,2000,200005,96
Alkoholunfälle,insgesamt,2000,200006,57
Alkoholunfälle,insgesamt,2000,200007,99
Alkoholunfälle,insgesamt,2000,200008,77
Alkoholunfälle,insgesamt,2000,200009,84
Alkoholunfälle,insgesamt,2000,200010,83
Alkoholunfälle,insgesamt,2000,200011,71
Alkoholunfälle,insgesamt,2000,200012,85
Fluchtunfälle,insgesamt,2020,Summe,10024
Fluchtunfälle,insgesamt,2020,202001,791
Fluchtunfälle,insgesamt,2020,202002,870
Fluchtunfälle,insgesamt,2020,202003,744
Fluchtunfälle,insgesamt,2020,202004,607
Fluchtunfälle,insgesamt,2020,202005,859
Fluchtunfälle,insgesamt,2020,202006,905
Fluchtunfälle,insgesamt,2020,202007,1010
Fluchtunfälle,insgesamt,2020,202008,735
Fluchtunfälle,insgesamt,2020,202009,948
Fluchtunfälle,insgesamt,2020,202010,997
Fluchtunfälle,insgesamt,2020,202011,864
Fluchtunfälle,insgesamt,2020,202012,694
Fluchtunfälle,insgesamt,2019,Summe,11773
Fluchtunfälle,insgesamt,2019,201901,927
Fluchtunfälle,insgesamt,2019,201902,883
Fluchtunfälle,insgesamt,2019,201903,1005
Fluchtunfälle,insgesamt,2019,201904,967
Fluchtunfälle,insgesamt,2019,201905,1014
Fluchtunfälle,insgesamt,2019,201906,994
Fluchtunfälle,insgesamt,2019,201907,1187
Fluchtunfälle,insgesamt,2019,201908,820
Fluchtunfälle,insgesamt,2019,201909,996
Fluchtunfälle,insgesamt,2019,201910,1088
Fluchtunfälle,insgesamt,2019,201911,967
Fluchtunfälle,insgesamt,2019,201912,925
Fluchtunfälle,insgesamt,2018,Summe,11648
Fluchtunfälle,insgesamt,2018,201801,860
Fluchtunfälle,insgesamt,2018,201802,774
Fluchtunfälle,insgesamt,2018,201803,954
Fluchtunfälle,insgesamt,2018,201804,1010
Fluchtunfälle,insgesamt,2018,201805,994
Fluchtunfälle,insgesamt,2018,201806,1034
Fluchtunfälle,insgesamt,2018,201807,1151
Fluchtunfälle,insgesamt,2018,201808,813
Fluchtunfälle,insgesamt,2018,201809,1102
Fluchtunfälle,insgesamt,2018,201810,1127
Fluchtunfälle,insgesamt,2018,201811,929
Fluchtunfälle,insgesamt,2018,201812,900
Fluchtunfälle,insgesamt,2017,Summe,11263
Fluchtunfälle,insgesamt,2017,201701,690
Fluchtunfälle,insgesamt,2017,201702,846
Fluchtunfälle,insgesamt,2017,201703,1060
Fluchtunfälle,insgesamt,2017,201704,895
Fluchtunfälle,insgesamt,2017,201705,1070
Fluchtunfälle,insgesamt,2017,201706,948
Fluchtunfälle,insgesamt,2017,201707,1064
Fluchtunfälle,insgesamt,2017,201708,831
Fluchtunfälle,insgesamt,2017,201709,1009
Fluchtunfälle,insgesamt,2017,201710,1052
Fluchtunfälle,insgesamt,2017,201711,925
Fluchtunfälle,insgesamt,2017,201712,873
Fluchtunfälle,insgesamt,2016,Summe,11179
Fluchtunfälle,insgesamt,2016,201601,777
Fluchtunfälle,insgesamt,2016,201602,775
Fluchtunfälle,insgesamt,2016,201603,898
Fluchtunfälle,insgesamt,2016,201604,998
Fluchtunfälle,insgesamt,2016,201605,850
Fluchtunfälle,insgesamt,2016,201606,1018
Fluchtunfälle,insgesamt,2016,201607,1095
Fluchtunfälle,insgesamt,2016,201608,958
Fluchtunfälle,insgesamt,2016,201609,958
Fluchtunfälle,insgesamt,2016,201610,1022
Fluchtunfälle,insgesamt,2016,201611,960
Fluchtunfälle,insgesamt,2016,201612,870
Fluchtunfälle,insgesamt,2015,Summe,11358
Fluchtunfälle,insgesamt,2015,201501,781
Fluchtunfälle,insgesamt,2015,201502,713
Fluchtunfälle,insgesamt,2015,201503,908
Fluchtunfälle,insgesamt,2015,201504,966
Fluchtunfälle,insgesamt,2015,201505,940
Fluchtunfälle,insgesamt,2015,201506,952
Fluchtunfälle,insgesamt,2015,201507,1176
Fluchtunfälle,insgesamt,2015,201508,864
Fluchtunfälle,insgesamt,2015,201509,1007
Fluchtunfälle,insgesamt,2015,201510,1110
Fluchtunfälle,insgesamt,2015,201511,991
Fluchtunfälle,insgesamt,2015,201512,950
Fluchtunfälle,insgesamt,2014,Summe,10846
Fluchtunfälle,insgesamt,2014,201401,778
Fluchtunfälle,insgesamt,2014,201402,742
Fluchtunfälle,insgesamt,2014,201403,993
Fluchtunfälle,insgesamt,2014,201404,946
Fluchtunfälle,insgesamt,2014,201405,925
Fluchtunfälle,insgesamt,2014,201406,880
Fluchtunfälle,insgesamt,2014,201407,1029
Fluchtunfälle,insgesamt,2014,201408,802
Fluchtunfälle,insgesamt,2014,201409,936
Fluchtunfälle,insgesamt,2014,201410,1042
Fluchtunfälle,insgesamt,2014,201411,943
Fluchtunfälle,insgesamt,2014,201412,830
Fluchtunfälle,insgesamt,2013,Summe,11186
Fluchtunfälle,insgesamt,2013,201301,796
Fluchtunfälle,insgesamt,2013,201302,773
Fluchtunfälle,insgesamt,2013,201303,906
Fluchtunfälle,insgesamt,2013,201304,1038
Fluchtunfälle,insgesamt,2013,201305,848
Fluchtunfälle,insgesamt,2013,201306,1055
Fluchtunfälle,insgesamt,2013,201307,1138
Fluchtunfälle,insgesamt,2013,201308,791
Fluchtunfälle,insgesamt,2013,201309,1000
Fluchtunfälle,insgesamt,2013,201310,1074
Fluchtunfälle,insgesamt,2013,201311,939
Fluchtunfälle,insgesamt,2013,201312,828
Fluchtunfälle,insgesamt,2012,Summe,11105
Fluchtunfälle,insgesamt,2012,201201,713
Fluchtunfälle,insgesamt,2012,201202,714
Fluchtunfälle,insgesamt,2012,201203,946
Fluchtunfälle,insgesamt,2012,201204,919
Fluchtunfälle,insgesamt,2012,201205,1035
Fluchtunfälle,insgesamt,2012,201206,1041
Fluchtunfälle,insgesamt,2012,201207,1045
Fluchtunfälle,insgesamt,2012,201208,887
Fluchtunfälle,insgesamt,2012,201209,921
Fluchtunfälle,insgesamt,2012,201210,1090
Fluchtunfälle,insgesamt,2012,201211,984
Fluchtunfälle,insgesamt,2012,201212,810
Fluchtunfälle,insgesamt,2011,Summe,10258
Fluchtunfälle,insgesamt,2011,201101,726
Fluchtunfälle,insgesamt,2011,201102,760
Fluchtunfälle,insgesamt,2011,201103,883
Fluchtunfälle,insgesamt,2011,201104,835
Fluchtunfälle,insgesamt,2011,201105,1034
Fluchtunfälle,insgesamt,2011,201106,783
Fluchtunfälle,insgesamt,2011,201107,951
Fluchtunfälle,insgesamt,2011,201108,790
Fluchtunfälle,insgesamt,2011,201109,906
Fluchtunfälle,insgesamt,2011,201110,916
Fluchtunfälle,insgesamt,2011,201111,842
Fluchtunfälle,insgesamt,2011,201112,832
Fluchtunfälle,insgesamt,2010,Summe,9899
Fluchtunfälle,insgesamt,2010,201001,613
Fluchtunfälle,insgesamt,2010,201002,683
Fluchtunfälle,insgesamt,2010,201003,829
Fluchtunfälle,insgesamt,2010,201004,938
Fluchtunfälle,insgesamt,2010,201005,743
Fluchtunfälle,insgesamt,2010,201006,814
Fluchtunfälle,insgesamt,2010,201007,932
Fluchtunfälle,insgesamt,2010,201008,794
Fluchtunfälle,insgesamt,2010,201009,955
Fluchtunfälle,insgesamt,2010,201010,910
Fluchtunfälle,insgesamt,2010,201011,827
Fluchtunfälle,insgesamt,2010,201012,861
Fluchtunfälle,insgesamt,2009,Summe,9267
Fluchtunfälle,insgesamt,2009,200901,512
Fluchtunfälle,insgesamt,2009,200902,802
Fluchtunfälle,insgesamt,2009,200903,607
Fluchtunfälle,insgesamt,2009,200904,776
Fluchtunfälle,insgesamt,2009,200905,768
Fluchtunfälle,insgesamt,2009,200906,678
Fluchtunfälle,insgesamt,2009,200907,991
Fluchtunfälle,insgesamt,2009,200908,752
Fluchtunfälle,insgesamt,2009,200909,846
Fluchtunfälle,insgesamt,2009,200910,953
Fluchtunfälle,insgesamt,2009,200911,835
Fluchtunfälle,insgesamt,2009,200912,747
Fluchtunfälle,insgesamt,2008,Summe,9345
Fluchtunfälle,insgesamt,2008,200801,727
Fluchtunfälle,insgesamt,2008,200802,793
Fluchtunfälle,insgesamt,2008,200803,763
Fluchtunfälle,insgesamt,2008,200804,837
Fluchtunfälle,insgesamt,2008,200805,871
Fluchtunfälle,insgesamt,2008,200806,859
Fluchtunfälle,insgesamt,2008,200807,832
Fluchtunfälle,insgesamt,2008,200808,760
Fluchtunfälle,insgesamt,2008,200809,747
Fluchtunfälle,insgesamt,2008,200810,874
Fluchtunfälle,insgesamt,2008,200811,625
Fluchtunfälle,insgesamt,2008,200812,657
Fluchtunfälle,insgesamt,2007,Summe,9127
Fluchtunfälle,insgesamt,2007,200701,699
Fluchtunfälle,insgesamt,2007,200702,612
Fluchtunfälle,insgesamt,2007,200703,411
Fluchtunfälle,insgesamt,2007,200704,821
Fluchtunfälle,insgesamt,2007,200705,858
Fluchtunfälle,insgesamt,2007,200706,804
Fluchtunfälle,insgesamt,2007,200707,935
Fluchtunfälle,insgesamt,2007,200708,759
Fluchtunfälle,insgesamt,2007,200709,797
Fluchtunfälle,insgesamt,2007,200710,873
Fluchtunfälle,insgesamt,2007,200711,868
Fluchtunfälle,insgesamt,2007,200712,690
Fluchtunfälle,insgesamt,2006,Summe,8629
Fluchtunfälle,insgesamt,2006,200601,708
Fluchtunfälle,insgesamt,2006,200602,698
Fluchtunfälle,insgesamt,2006,200603,1138
Fluchtunfälle,insgesamt,2006,200604,750
Fluchtunfälle,insgesamt,2006,200605,476
Fluchtunfälle,insgesamt,2006,200606,565
Fluchtunfälle,insgesamt,2006,200607,845
Fluchtunfälle,insgesamt,2006,200608,774
Fluchtunfälle,insgesamt,2006,200609,718
Fluchtunfälle,insgesamt,2006,200610,599
Fluchtunfälle,insgesamt,2006,200611,494
Fluchtunfälle,insgesamt,2006,200612,864
Fluchtunfälle,insgesamt,2005,Summe,11037
Fluchtunfälle,insgesamt,2005,200501,749
Fluchtunfälle,insgesamt,2005,200502,961
Fluchtunfälle,insgesamt,2005,200503,1115
Fluchtunfälle,insgesamt,2005,200504,937
Fluchtunfälle,insgesamt,2005,200505,902
Fluchtunfälle,insgesamt,2005,200506,901
Fluchtunfälle,insgesamt,2005,200507,951
Fluchtunfälle,insgesamt,2005,200508,811
Fluchtunfälle,insgesamt,2005,200509,1086
Fluchtunfälle,insgesamt,2005,200510,962
Fluchtunfälle,insgesamt,2005,200511,845
Fluchtunfälle,insgesamt,2005,200512,817
Fluchtunfälle,insgesamt,2004,Summe,10547
Fluchtunfälle,insgesamt,2004,200401,828
Fluchtunfälle,insgesamt,2004,200402,723
Fluchtunfälle,insgesamt,2004,200403,817
Fluchtunfälle,insgesamt,2004,200404,875
Fluchtunfälle,insgesamt,2004,200405,867
Fluchtunfälle,insgesamt,2004,200406,859
Fluchtunfälle,insgesamt,2004,200407,970
Fluchtunfälle,insgesamt,2004,200408,784
Fluchtunfälle,insgesamt,2004,200409,957
Fluchtunfälle,insgesamt,2004,200410,1022
Fluchtunfälle,insgesamt,2004,200411,903
Fluchtunfälle,insgesamt,2004,200412,942
Fluchtunfälle,insgesamt,2003,Summe,9611
Fluchtunfälle,insgesamt,2003,200301,747
Fluchtunfälle,insgesamt,2003,200302,572
Fluchtunfälle,insgesamt,2003,200303,854
Fluchtunfälle,insgesamt,2003,200304,844
Fluchtunfälle,insgesamt,2003,200305,763
Fluchtunfälle,insgesamt,2003,200306,855
Fluchtunfälle,insgesamt,2003,200307,562
Fluchtunfälle,insgesamt,2003,200308,698
Fluchtunfälle,insgesamt,2003,200309,945
Fluchtunfälle,insgesamt,2003,200310,960
Fluchtunfälle,insgesamt,2003,200311,953
Fluchtunfälle,insgesamt,2003,200312,858
Fluchtunfälle,insgesamt,2002,Summe,10651
Fluchtunfälle,insgesamt,2002,200201,852
Fluchtunfälle,insgesamt,2002,200202,817
Fluchtunfälle,insgesamt,2002,200203,897
Fluchtunfälle,insgesamt,2002,200204,784
Fluchtunfälle,insgesamt,2002,200205,857
Fluchtunfälle,insgesamt,2002,200206,987
Fluchtunfälle,insgesamt,2002,200207,1026
Fluchtunfälle,insgesamt,2002,200208,785
Fluchtunfälle,insgesamt,2002,200209,1039
Fluchtunfälle,insgesamt,2002,200210,1019
Fluchtunfälle,insgesamt,2002,200211,882
Fluchtunfälle,insgesamt,2002,200212,706
Fluchtunfälle,insgesamt,2001,Summe,11396
Fluchtunfälle,insgesamt,2001,200101,871
Fluchtunfälle,insgesamt,2001,200102,820
Fluchtunfälle,insgesamt,2001,200103,962
Fluchtunfälle,insgesamt,2001,200104,897
Fluchtunfälle,insgesamt,2001,200105,1081
Fluchtunfälle,insgesamt,2001,200106,905
Fluchtunfälle,insgesamt,2001,200107,1047
Fluchtunfälle,insgesamt,2001,200108,814
Fluchtunfälle,insgesamt,2001,200109,953
Fluchtunfälle,insgesamt,2001,200110,1104
Fluchtunfälle,insgesamt,2001,200111,1001
Fluchtunfälle,insgesamt,2001,200112,941
Fluchtunfälle,insgesamt,2000,200001,835
Fluchtunfälle,insgesamt,2000,200002,890
Fluchtunfälle,insgesamt,2000,200003,974
Fluchtunfälle,insgesamt,2000,200004,834
Fluchtunfälle,insgesamt,2000,200005,1086
Fluchtunfälle,insgesamt,2000,200006,842
Fluchtunfälle,insgesamt,2000,200007,1102
Fluchtunfälle,insgesamt,2000,200008,881
Fluchtunfälle,insgesamt,2000,200009,978
Fluchtunfälle,insgesamt,2000,200010,1078
Fluchtunfälle,insgesamt,2000,200011,1017
Fluchtunfälle,insgesamt,2000,200012,950
Verkehrsunfälle,insgesamt,2020,Summe,38434
Verkehrsunfälle,insgesamt,2020,202001,3139
Verkehrsunfälle,insgesamt,2020,202002,3271
Verkehrsunfälle,insgesamt,2020,202003,2825
Verkehrsunfälle,insgesamt,2020,202004,2251
Verkehrsunfälle,insgesamt,2020,202005,3193
Verkehrsunfälle,insgesamt,2020,202006,3380
Verkehrsunfälle,insgesamt,2020,202007,4031
Verkehrsunfälle,insgesamt,2020,202008,3007
Verkehrsunfälle,insgesamt,2020,202009,3659
Verkehrsunfälle,insgesamt,2020,202010,3867
Verkehrsunfälle,insgesamt,2020,202011,3150
Verkehrsunfälle,insgesamt,2020,202012,2661
Verkehrsunfälle,insgesamt,2019,Summe,46010
Verkehrsunfälle,insgesamt,2019,201901,3440
Verkehrsunfälle,insgesamt,2019,201902,3442
Verkehrsunfälle,insgesamt,2019,201903,3940
Verkehrsunfälle,insgesamt,2019,201904,3781
Verkehrsunfälle,insgesamt,2019,201905,4046
Verkehrsunfälle,insgesamt,2019,201906,3727
Verkehrsunfälle,insgesamt,2019,201907,4763
Verkehrsunfälle,insgesamt,2019,201908,3214
Verkehrsunfälle,insgesamt,2019,201909,4042
Verkehrsunfälle,insgesamt,2019,201910,4348
Verkehrsunfälle,insgesamt,2019,201911,3805
Verkehrsunfälle,insgesamt,2019,201912,3462
Verkehrsunfälle,insgesamt,2018,Summe,46408
Verkehrsunfälle,insgesamt,2018,201801,3328
Verkehrsunfälle,insgesamt,2018,201802,3109
